station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Adventist World Radio,1300,1330,15430,Su,Mo,Tu,We,Th,Fr,Sa,Trincomalee
All India Radio,0030,0830,594,Su,Mo,Tu,We,Th,Fr,Sa,Chinsurah
All India Radio,1000,1515,594,Su,Mo,Tu,We,Th,Fr,Sa,Chinsurah
All India Radio,1600,1730,594,Su,Mo,Tu,We,Th,Fr,Sa,Chinsurah
Bangladesh Betar,1630,1730,4750,Su,Mo,Tu,We,Th,Fr,Sa,Dhaka
Bangladesh Betar,1915,2000,4750,Su,Mo,Tu,We,Th,Fr,Sa,Dhaka
BBC London,0130,0200,9890,Su,Mo,Tu,We,Th,Fr,Sa,Singapore
BBC London,0130,0200,11995,Su,Mo,Tu,We,Th,Fr,Sa,Singapore
BBC London,1330,1400,9510,Su,Mo,Tu,We,Th,Fr,Sa,Singapore
BBC London,1330,1400,9900,Su,Mo,Tu,We,Th,Fr,Sa,Tashkent
BBC London,1330,1400,11750,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
China Radio Intl,,,9655,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
China Radio Intl,,,11640,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
China Radio Intl,,,9490,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
China Radio Intl,,,11610,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
China Radio Intl,,,9490,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
China Radio Intl,,,11610,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
China Radio Intl,,,9490,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
China Radio Intl,,,9610,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
FEBA Radio,0000,0030,9390,Su,Mo,Tu,We,Th,Fr,Sa,Tashkent
FEBA Radio,1500,1530,9390,Su,Mo,Tu,We,Th,Fr,Sa,Tashkent
Radio Japan,1300,1345,11685,Su,Mo,Tu,We,Th,Fr,Sa,Singapore
Radio Teheran,1420,1520,6125,Su,Mo,Tu,We,Th,Fr,Sa,Sirjan
Radio Teheran,1620,1650,7305,Su,Mo,Tu,We,Th,Fr,Sa,Sirjan
Reach Beyond Australia,,,11750, , , , , , ,Sa,Kununurra
Reach Beyond Australia,,,11750, ,Mo, , ,Th, , ,Kununurra
Reach Beyond Australia,,,9720, ,Mo, , ,Th, , ,Kununurra
Saudi Arab Radio,0900,1200,15120,Su,Mo,Tu,We,Th,Fr,Sa,Riyadh
Sri Lanka B/C Colombo,0030,0045,11905,Su,Mo,Tu,We, , ,Sa,Trincomalee
Trans World Radio,2230,2300,882,Su,Mo,Tu,We,Th,Fr,Sa,Puttalam
VOA Washington,1600,1700,1575,Su,Mo,Tu,We,Th,Fr,Sa,Bangkok
