station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Adventist World Radio,1530,1600,15670,Su,Mo,Tu,We, , ,Sa,Nauen
Adventist World Radio,1600,1630,9580,Su,Mo,Tu,We,Th,Fr,Sa,Trincomalee
Adventist World Radio,1600,1630,9490,Su,Mo,Tu,We,Th,Fr,Sa,Yerevan
All India Radio,1000,1100,1053,Su,Mo,Tu,We,Th,Fr,Sa,Tuticorin
All India Radio,1000,1100,7270,Su,Mo,Tu,We,Th,Fr,Sa,Chennai
All India Radio,1000,1100,13605,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,1000,1100,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,1000,1100,15030,Su,Mo,Tu,We,Th,Fr,Sa,Aligarh
All India Radio,1000,1100,15770,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
All India Radio,1000,1100,17895,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,1330,1500,9690,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,1330,1500,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,1745,1945,9445,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,1745,1945,9910,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,1745,1945,11935,Su,Mo,Tu,We,Th,Fr,Sa,Mumbai
All India Radio,2045,2230,9445,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,2045,2230,9910,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,2045,2230,11620,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,2045,2230,11740,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
All India Radio,2245,0045,6045,Su,Mo,Tu,We,Th,Fr,Sa,Delhi
All India Radio,2245,0045,9445,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
Bangladesh Betar,1230,1300,4750,Su,Mo,Tu,We,Th,Fr,Sa,Dhaka
Bangladesh Betar,1745,1900,4750,Su,Mo,Tu,We,Th,Fr,Sa,Dhaka
BBC London,0000,0100,5970,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
BBC London,0000,0100,7300,Su,Mo,Tu,We,Th,Fr,Sa,Wofferton
BBC London,0100,0200,5970,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
BBC London,0100,0200,12095,Su,Mo,Tu,We,Th,Fr,Sa,Singapore
BBC London,0200,0230,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
BBC London,1200,1300,12065,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
BBC London,1200,1300,15310,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
BBC London,1300,1400,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
BBC London,1300,1400,11890,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela
