name,slug
Ao,ao
Assamese,assamese
Awadhi,awadhi
Bagheli,bagheli
Bagri,bagri
Baluchi,baluchi
Bangla,bangla
Banjara,banjara
Bantawa,bantawa
Bengali,bengali
Bhaojpuri,bhaojpuri
Bhatri,bhatri
Bhili,bhili
Bhojpuri,bhojpuri
Bodo,bodo
Bondo,bondo
Braj bhasha,braj-bhasha
Bundeli,bundeli
Bundelkhandi,bundelkhandi
Burmese,burmese
Chakma,chakma
Chattisgarhi,chattisgarhi
Chhattisgari,chhattisgari
Chin,chin
Dari,dari
Deccani,deccani
Deori,deori
Deshiya,deshiya
Dhodia,dhodia
Dogri,dogri
Dzongkha,dzongkha
Dzonkha,dzonkha
English,english
Gamit,gamit
Garhwali,garhwali
Garo,garo
Gojri,gojri
Gondi,gondi
Gujarati,gujarati
Gurung,gurung
Halam,halam
Haryanvi,haryanvi
Himachali,himachali
Hindi,hindi
Ho,ho
Kangri,kangri
Kannada,kannada
Karbi,karbi
Kashmiri,kashmiri
Kaubru,kaubru
Khandesi,khandesi
Kharia,kharia
Khariya,khariya
Khasi,khasi
Khurukh,khurukh
Kinnauri,kinnauri
Kok Borok,kok-borok
Kokborok,kokborok
Konkani,konkani
Konyak,konyak
Kotwali,kotwali
Kotwalia,kotwalia
Koya,koya
Kui,kui
Kukna,kukna
Kumaoni,kumaoni
Kupiya,kupiya
Kurukh,kurukh
Kutchi,kutchi
Ladakhi,ladakhi
Lepcha,lepcha
Limbu,limbu
Lungeli-Magar,lungeli-magar
Magahi,magahi
Maghai,maghai
Maithili,maithili
Malayalam,malayalam
Malto,malto
Malto-FMPB,malto-fmpb
Marathi,marathi
Marwari,marwari
Mawachi,mawachi
Meitei,meitei
Mewari,mewari
Mising,mising
Mizo,mizo
Mouchi,mouchi
Mundari,mundari
Nagamese,nagamese
Nepali,nepali
Netakani,netakani
Newari,newari
Nockte,nockte
Oriya,oriya
Panjabi,panjabi
Pashto,pashto
Punjabi,punjabi
Rajasthani,rajasthani
Rengma,rengma
Rongmei,rongmei
Sadri,sadri
Sambalpuri,sambalpuri
Santhali,santhali
Saraiki,saraiki
Sarchopa,sarchopa
Sharchhop,sharchhop
Sherpa,sherpa
Sindhi,sindhi
Sinhala,sinhala
Sinhalese,sinhalese
Soura,soura
Sumi,sumi
Surgujia,surgujia
Tamang,tamang
Tamil,tamil
Tangkhul,tangkhul
Telugu,telugu
Thadou-Kuki,thadou-kuki
Tharu,tharu
Tibetan,tibetan
Tibetan(Amdo dialect),tibetan-amdo-dialect
Tibetan(Khams),tibetan-khams
Tibetan(Lhasa),tibetan-lhasa
Tulu,tulu
Urdu,urdu
Vadari,vadari
Varli,varli
Varti,varti
Vasavi,vasavi
Yerukala,yerukala
