start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx
0000,0045,Tamil,1053,Su,Mo,Tu,We,Th,Fr,Sa,Tuticorin
0000,0045,Tamil,7270,Su,Mo,Tu,We,Th,Fr,Sa,Chennai
0000,0045,Tamil,9835,Su,Mo,Tu,We,Th,Fr,Sa,Delhi
0000,0045,Tamil,11590,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
0000,0045,Tamil,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0025,0100,Urdu,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot
0025,0430,Urdu,702,Su,Mo,Tu,We,Th,Fr,Sa,Jullandhar
0025,0430,Urdu,6140,Su,Mo,Tu,We,Th,Fr,Sa,Aligarh
0025,0430,Urdu,7340,Su,Mo,Tu,We,Th,Fr,Sa,Mumbai
0030,0830,Bangla,594,Su,Mo,Tu,We,Th,Fr,Sa,Chinsurah
0045,0115,Sinhala,1053,Su,Mo,Tu,We,Th,Fr,Sa,Tuticorin
0045,0115,Sinhala,7270,Su,Mo,Tu,We,Th,Fr,Sa,Chennai
0045,0115,Sinhala,11590,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
0100,0200,Sindhi,7380,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0100,0200,Sindhi,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot
0115,0330,Tamil,1053,Su,Mo,Tu,We,Th,Fr,Sa,Tuticorin
0130,0230,Nepali,9950,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0115,0330,Tamil,7270,Su,Mo,Tu,We,Th,Fr,Sa,Chennai
0200,0430,Urdu,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot
0215,0300,Kannada,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0215,0300,Kannada,15030,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0315,0415,Hindi,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0315,0415,Hindi,15030,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0315,0415,Hindi,15185,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0415,0430,Gujarati,15185,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0430,0530,Hindi,15185,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
0700,0800,Nepali,9950,Su,Mo,Tu,We,Th,Fr,Sa,Delhi
0700,0800,Nepali,11620,Su,Mo,Tu,We,Th,Fr,Sa,Delhi
0800,0830,Panjabi,702,Su,Mo,Tu,We,Th,Fr,Sa,Jullandhar
0830,1130,Urdu,702,Su,Mo,Tu,We,Th,Fr,Sa,Jullandhar
0830,1130,Urdu,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot
0830,1130,Urdu,7340,Su,Mo,Tu,We,Th,Fr,Sa,Mumbai
0830,1130,Urdu,9620,Su,Mo,Tu,We,Th,Fr,Sa,Aligarh
0830,1130,Urdu,9950,Su,Mo,Tu,We,Th,Fr,Sa,Delhi
1000,1515,Bangla,594,Su,Mo,Tu,We,Th,Fr,Sa,Chinsurah
1000,1100,English,1053,Su,Mo,Tu,We,Th,Fr,Sa,Tuticorin
1000,1100,English,7270,Su,Mo,Tu,We,Th,Fr,Sa,Chennai
1000,1100,English,13605,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1000,1100,English,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1000,1100,English,15030,Su,Mo,Tu,We,Th,Fr,Sa,Aligarh
1000,1100,English,15770,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
1000,1100,English,17895,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1000,1300,Tamil,1053,Su,Mo,Tu,We,Th,Fr,Sa,Tuticorin
1115,1215,Tamil,7270,Su,Mo,Tu,We,Th,Fr,Sa,Chennai
1115,1215,Tamil,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1130,1230,Panjabi,702,Su,Mo,Tu,We,Th,Fr,Sa,Jullandhar
1215,1315,Telugu,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1215,1330,Tibetan,9425,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1215,1330,Tibetan,11620,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
1230,1300,Saraiki,702,Su,Mo,Tu,We,Th,Fr,Sa,Jullandhar
1230,1500,Sindhi,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot
1230,1500,Sindhi,7340,Su,Mo,Tu,We,Th,Fr,Sa,Mumbai
1230,1500,Sindhi,9620,Su,Mo,Tu,We,Th,Fr,Sa,Aligarh
1300,1430,Panjabi,702,Su,Mo,Tu,We,Th,Fr,Sa,Jullandhar
1300,1500,Sinhala,1053,Su,Mo,Tu,We,Th,Fr,Sa,Tuticorin
1300,1500,Sinhala,7270,Su,Mo,Tu,We,Th,Fr,Sa,Chennai
1330,1500,English,9690,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1330,1500,English,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1330,1430,Nepali,11620,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
1430,1930,Urdu,702,Su,Mo,Tu,We,Th,Fr,Sa,Jullandhar
1430,1930,Urdu,6140,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1500,1600,Baluchi,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot
1500,1600,Baluchi,7340,Su,Mo,Tu,We,Th,Fr,Sa,Mumbai
1500,1600,Baluchi,9620,Su,Mo,Tu,We,Th,Fr,Sa,Aligarh
1515,1600,Gujarati,15185,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
1600,1730,Bangla,594,Su,Mo,Tu,We,Th,Fr,Sa,Chinsurah
1600,1930,Urdu,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot
1615,1730,Hindi,9950,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1615,1730,Hindi,12025,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
1730,1830,Malayalam,12025,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
1745,1945,English,9445,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1745,1945,English,9910,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
1745,1945,English,11935,Su,Mo,Tu,We,Th,Fr,Sa,Mumbai
1945,2045,Hindi,9445,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
2045,2230,English,9445,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
2045,2230,English,9910,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
2045,2230,English,11620,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
2045,2230,English,11740,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
2245,0045,English,6045,Su,Mo,Tu,We,Th,Fr,Sa,Delhi
2245,0045,English,9445,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
2300,2400,Hindi,9910,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
2300,2400,Hindi,11590,Su,Mo,Tu,We,Th,Fr,Sa,Panaji
2300,2400,Hindi,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
