start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx,ds
0000,0100,English,5970,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
0000,0100,English,7300,Su,Mo,Tu,We,Th,Fr,Sa,Wofferton,
0100,0200,English,5970,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
0100,0200,English,12095,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
0100,0130,Hindi,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
0100,0130,Hindi,6070,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
0100,0130,Hindi,7290,Su,Mo,Tu,We,Th,Fr,Sa,Dhabayya,
0100,0130,Hindi,9410,Su,Mo,Tu,We,Th,Fr,Sa,Dhabayya,
0100,0130,Hindi,11995,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
0130,0200,Bangla,9890,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
0130,0200,Bangla,11995,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
0200,0230,English,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1200,1300,English,12065,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1200,1300,English,15310,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1300,1400,English,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1300,1400,English,11890,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1300,1400,English,12065,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
1330,1400,Bangla,9510,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
1330,1400,Bangla,9900,Su,Mo,Tu,We,Th,Fr,Sa,Tashkent,
1330,1400,Bangla,11750,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1400,1430,Hindi,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1400,1430,Hindi,11995,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1400,1430,Hindi,9460,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1400,1430,Hindi,9510,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
1400,1430,Hindi,11795,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
1430,1500,English,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
0200,0230,Urdu,7290,Su,Mo,Tu,We,Th,Fr,Sa,Dhabayya,
0200,0230,Urdu,9410,Su,Mo,Tu,We,Th,Fr,Sa,Dhabayya,
0200,0230,Urdu,15310,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
1500,1600,Urdu,1413,Su,Mo,Tu,We,Th,Fr,Sa,A'Seela,
1500,1600,Urdu,7485,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
1500,1600,Urdu,9410,Su,Mo,Tu,We,Th,Fr,Sa,Singapore,
1500,1600,Urdu,9445,Su,Mo,Tu,We,Th,Fr,Sa,Dhabayya,
1500,1600,Urdu,12095,Su,Mo,Tu,We,Th,Fr,Sa,Dhabayya,
