start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx
0000,0057,English,6075,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0000,0057,English,7425,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0100,0200,English,9470,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0100,0157,English,9535,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0100,0157,English,11770,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0100,0157,English,15785,Su,Mo,Tu,We,Th,Fr,Sa,Xian
0100,0157,Urdu,7240,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0100,0157,Urdu,9695,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0130,0227,Nepali,11860,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
0130,0330,Nepali,13780,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
0200,0257,Bangla,9655,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
0200,0257,Bangla,11640,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
0200,0300,English,11770,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0200,0257,English,13640,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0200,0257,Tamil,13600,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0200,0257,Tamil,15260,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0200,0300,Urdu,9450,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0200,0257,Urdu,11650,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0230,0330,Nepali,11730,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
0300,0357,Hindi,11640,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0300,0357,Hindi,13720,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0300,0357,Hindi,15210,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0300,0400,Hindi,15350,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0300,0357,Tamil,13600,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
0300,0357,Tamil,13730,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0700,1300,English,17490,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0700,0900,English,17670,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0900,1000,English,17570,Su,Mo,Tu,We,Th,Fr,Sa,Urumqi
0900,1000,English,17650,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
0900,1100,English,17750,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
1000,1057,English,11635,Su,Mo,Tu,We,Th,Fr,Sa,Beijing
1000,1100,English,11895,Su,Mo,Tu,We,Th,Fr,Sa,Xian
1000,1200,English,13590,Su,Mo,Tu,We,Th,Fr,Sa,Beijing
1000,1157,English,13720,Su,Mo,Tu,We,Th,Fr,Sa,Xian
1100,1157,English,11795,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
1200,1257,English,9460,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
1200,1300,English,9600,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
1200,1257,English,9645,Su,Mo,Tu,We,Th,Fr,Sa,Beijing
1200,1257,English,9730,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
1200,1300,English,9760,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
1200,1257,English,11670,Su,Mo,Tu,We,Th,Fr,Sa,Xian
1200,1400,English,11760,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
1200,1357,English,11980,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
1200,1500,English,15590,Su,Mo,Tu,We,Th,Fr,Sa,Urumqi
