start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx
0000,0015,Mising,7380,Su, , , , ,Fr,Sa,Nauen
0000,0015,Bodo,7380, ,Mo,Tu, , , , ,Nauen
0000,0015,Khurukh,7380, , , ,We,Th, , ,Nauen
0015,0030,Bengali,7380,Su, , , , , ,Sa,Nauen
0015,0030,Chakma,7380, ,Mo,Tu, , , , ,Nauen
0015,0030,Santhali,7380, , , ,We,Th, , ,Nauen
0015,0030,Ho,7380, , , , , ,Fr, ,Nauen
2330,2345,Bantawa,7380,Su, , , , , , ,Nauen
2330,2345,Lungeli-Magar,7380, ,Mo, , , , , ,Nauen
2330,2345,Gurung,7380, , ,Tu,We, , , ,Nauen
2330,2345,Sherpa,7380, , , , ,Th, , ,Nauen
2330,2345,Limbu,7380, , , , , ,Fr,Sa,Nauen
2345,2400,Chin,7380,Su,Mo, , , , , ,Nauen
2345,2400,Burmese,7380, , ,Tu,We,Th, , ,Nauen
2345,2400,Karbi,7380, , , , , ,Fr,Sa,Nauen
0030,0045,Garhwali,7465,Su, , , , , ,Sa,Tashkent
0030,0045,Bagri,7465, ,Mo,Tu, , , , ,Tashkent
0030,0045,Khariya,7465, , , ,We, , , ,Tashkent
0030,0045,Vasavi,7465, , , , ,Th, , ,Tashkent
0030,0045,Bundelkhandi,7465, , , , , ,Fr, ,Tashkent
0045,0100,Kangri,7465,Su, , , , , ,Sa,Tashkent
0045,0100,Rajasthani,7465, ,Mo,Tu, , , , ,Tashkent
0045,0100,Magahi,7465, , , ,We, , , ,Tashkent
0045,0100,Dogri,7465, , , , ,Th,Fr, ,Tashkent
0100,0115,Kinnauri,7465,Su, , , , , ,Sa,Tashkent
0100,0115,Marwari,7465, ,Mo,Tu, , , , ,Tashkent
0100,0115,Sindhi,7465, , , ,We, , , ,Tashkent
0100,0115,Punjabi,7465, , , , ,Th,Fr, ,Tashkent
0115,0130,Bhili,7465, ,Mo, , , , , ,Tashkent
0115,0130,Kukna,7465, , ,Tu, , , , ,Tashkent
0115,0130,Kotwali,7465, , , ,We, , , ,Tashkent
0115,0130,Vadari,7465, , , , ,Th, , ,Tashkent
0115,0130,Varli,7465, , , , , ,Fr, ,Tashkent
1530,1545,Sindhi,15150,Su, , , , , ,Sa,Nauen
1530,1545,Chhattisgari,15150, ,Mo,Tu, , , , ,Nauen
1530,1545,Maithili,15150, , , ,We,Th,Fr, ,Nauen
1545,1600,Bundelkhandi,15150, ,Mo,Tu, , , , ,Nauen
1545,1600,Bagheli,15150, , , ,We,Th,Fr, ,Nauen
1545,1615,Pashto,15150,Su, , , , , , ,Nauen
1545,1615,Dari,15150, , , , , , ,Sa,Nauen
1600,1615,Awadhi,15150, ,Mo,Tu,We, , , ,Nauen
