start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx
0000,0030,Malayalam,882,Su,Mo,Tu,We,Th,Fr,Sa,Puttalam
0030,0130,Tamil,882,Su,Mo,Tu,We,Th,Fr,Sa,Puttalam
1330,1345,Banjara,882, , , , , , ,Sa,Puttalam
1330,1400,Gondi,882, ,Mo,Tu,We,Th,Fr, ,Puttalam
1330,1345,Soura,882,Su, , , , , , ,Puttalam
1345,1400,Gondi,882,Su, , , , , , ,Puttalam
1345,1400,Telugu,882, , , , , , ,Sa,Puttalam
1400,1415,Chattisgarhi,882,Su, , , , , , ,Puttalam
1400,1415,Koya,882, , , , , , ,Sa,Puttalam
1400,1430,Telugu,882, ,Mo,Tu,We,Th,Fr, ,Puttalam
1415,1430,Konkani,882, , , , ,  , ,Sa,Puttalam
1415,1430,Oriya,882,Su, , , , , , ,Puttalam
1430,1515,Gujarati,882, , , , , , ,Sa,Puttalam
1430,1445,Kannada,882,Su, , , , , , ,Puttalam
1430,1500,Kannada,882, ,Mo,Tu,We,Th,Fr, ,Puttalam
1445,1500,Varli,882,Su, , , , , , ,Puttalam
1500,1530,Gujarati,882,Su,Mo,Tu,We,Th,Fr, ,Puttalam
1515,1530,Oriya,882,  , , , , , , ,Puttalam
1530,1600,Oriya,882,Su,Mo,Tu,We,Th,Fr,Sa,Puttalam
1600,1615,Chattisgarhi,882,Su, , , , , , ,Puttalam
1600,1630,Marathi,882, ,Mo,Tu,We,Th,Fr,Sa,Puttalam
1615,1630,Tulu,882,Su, , , , , , ,Puttalam
1630,1645,Deccani,882,Su, , , , , , ,Puttalam
1630,1700,Deccani,882, ,Mo,Tu,We,Th,Fr, ,Puttalam
1630,1645,Marathi,882, , , , , , ,Sa,Puttalam
1645,1700,English,882, , , , , , ,Sa,Puttalam
2230,2300,Bangla,882,Su,Mo,Tu,We,Th,Fr,Sa,Puttalam
2300,2330,Hindi,882,Su,Mo,Tu,We,Th,Fr,Sa,Puttalam
2330,2400,Gujarati,882,Su,Mo,Tu,We,Th,Fr, ,Puttalam
2330,2345,Kukna,882,,,,,,,Sa,Puttalam
2345,2400,Kutchi,882,,,,,,,Sa,Puttalam
,1345,Garhwali,1467, , , , , ,Fr, ,Bishkek
,1345,Kashmiri,1467, , , , , , ,Sa,Bishkek
,1400,Punjabi,1467, ,Mo,Tu, , , , ,Bishkek
,1355,Kumaoni,1467, , , , , , ,Sa,Bishkek
,1400,Bagri,1467, , , , , ,Fr, ,Bishkek
