start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx
1130,1200,English,9840,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1130,1200,English,12020,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1230,1300,English,9840,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1230,1300,English,12020,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1500,1530,English,7285,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1500,1530,English,9840,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1500,1530,English,12020,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1600,1630,English,7220,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1600,1630,English,9550,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
1600,1630,English,9730,Su,Mo,Tu,We,Th,Fr,Sa,Hanoi
