name,slug
Adventist World Radio,adventist-world-radio
All India Radio,all-india-radio
BBC London,bbc-london
Bangladesh Betar,bangladesh-betar
Bhutan Bc Service,bhutan-bc-service
Bible Voice,bible-voice
China Radio Intl,china-radio-intl
FEBA Radio,feba-radio
Gospel for Asia,gospel-for-asia
KBS World Seoul,kbs-world-seoul
KNLS  WCB,knls-wcb
Radio Filipinas,radio-filipinas
Radio Japan,radio-japan
Radio Kuwait,radio-kuwait
Radio New Zealand Intl,radio-new-zealand-intl
Radio Romania Intl,radio-romania-intl
Radio Taiwan Intl,radio-taiwan-intl
Radio Teheran,radio-teheran
Radio Thailand,radio-thailand
Reach Beyond Australia,reach-beyond-australia
Saudi Arab Radio,saudi-arab-radio
Sri Lanka B/C Colombo,sri-lanka-b-c-colombo
Trans World Radio,trans-world-radio
VOA Washington,voa-washington
Vatican Radio,vatican-radio
Voice of Indonesia,voice-of-indonesia
Voice of Korea,voice-of-korea
Voice of Mongolia,voice-of-mongolia
Voice of Turkey,voice-of-turkey
Voice of Vietnam,voice-of-vietnam
